Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,avg_temp
Albania,Maize,2000,38811,1485.0,16.67
Albania,Potatoes,2000,141228,1485.0,16.67
Albania,Soybeans,2000,15000,1485.0,16.67
Albania,Wheat,2000,30455,1485.0,16.67
Albania,Maize,2001,38135,1485.0,16.59
Albania,Potatoes,2001,148818,1485.0,16.59
Albania,Soybeans,2001,20000,1485.0,16.59
Albania,Wheat,2001,28220,1485.0,16.59
Albania,Maize,2002,39460,1485.0,16.47
Albania,Potatoes,2002,153868,1485.0,16.47
Albania,Soybeans,2002,20000,1485.0,16.47
Albania,Wheat,2002,31617,1485.0,16.47
Albania,Maize,2004,46197,1485.0,16.16
Albania,Potatoes,2004,149346,1485.0,16.16
Albania,Soybeans,2004,13333,1485.0,16.16
Albania,Wheat,2004,31130,1485.0,16.16
Albania,Maize,2005,45442,1485.0,15.67
Albania,Potatoes,2005,167061,1485.0,15.67
Albania,Soybeans,2005,17500,1485.0,15.67
Albania,Wheat,2005,31582,1485.0,15.67
Albania,Maize,2006,50111,1485.0,15.92
Albania,Potatoes,2006,170745,1485.0,15.92
Albania,Soybeans,2006,20000,1485.0,15.92
Albania,Wheat,2006,30787,1485.0,15.92
Albania,Maize,2007,46732,1485.0,16.67
Albania,Potatoes,2007,188902,1485.0,16.67
Albania,Soybeans,2007,20000,1485.0,16.67
Albania,Wheat,2007,35496,1485.0,16.67
Albania,Maize,2008,50000,1485.0,16.71
Albania,Potatoes,2008,193878,1485.0,16.71
Albania,Soybeans,2008,20000,1485.0,16.71
Albania,Wheat,2008,40168,1485.0,16.71
Albania,Maize,2009,55693,1485.0,16.73
Albania,Potatoes,2009,219780,1485.0,16.73
Albania,Soybeans,2009,16667,1485.0,16.73
Albania,Wheat,2009,40229,1485.0,16.73
Albania,Maize,2010,66790,1485.0,16.52
Albania,Soybeans,2010,16667,1485.0,16.52
Albania,Wheat,2010,39905,1485.0,16.52
Albania,Maize,2011,59869,1485.0,16.45
Albania,Soybeans,2011,18519,1485.0,16.45
Albania,Wheat,2011,42301,1485.0,16.45
